"092年05月05日 至 110年11月25日 除權除息計算結果表"
"資料日期","股票代號","股票名稱","除權息前收盤價","除權息參考價","權值+息值","權/息","漲停價格","跌停價格","開盤競價基準","減除股利參考價","詳細資料","最近一次申報資料 季別/日期","最近一次申報每股 (單位)淨值","最近一次申報每股 (單位)盈餘",
"92年05月05日","1439","中和","7.20","6.90","0.300000","息","7.35","6.45","6.90","6.90","除權息資料","110年第3季","23.61","0.79",
"92年05月06日","1717","長興","17.40","16.00","1.400000","息","17.10","14.90","16.00","16.00","除權息資料","110年第3季","18.76","2.32",
"92年05月20日","1520","復盛","43.80","40.80","3.000000","息","43.60","38.00","40.80","40.80","除權息資料","","","",
"92年05月20日","9915","億豐","75.00","58.53","16.470000","權息","62.50","54.50","58.50","58.53","除權息資料","","","",
"92年05月22日","1708","東鹼","5.20","5.05","0.150000","息","5.40","4.70","5.05","5.05","除權息資料","110年第3季","23.02","1.32",
"92年05月22日","1907","永豐餘","10.60","10.40","0.200000","息","11.10","9.70","10.40","10.40","除權息資料","110年第3季","29.15","2.74",
"92年05月22日","9102","東亞科","27.20","21.70","5.500000","權息","23.20","20.20","21.70","21.70","除權息資料","93年第4季","0.00","0.39",
"92年05月29日","2808","北商銀","15.50","15.30","0.200000","息","16.30","14.25","15.30","15.30","除權息資料","","","",
"92年06月02日","1451","年興","37.00","34.80","2.200000","息","37.20","32.40","34.80","34.80","除權息資料","110年第3季","37.40","0.84",
"92年06月02日","1520","復盛","45.00","41.99","3.010000","權","44.90","39.10","42.00","41.99","除權息資料","","","",
"92年06月02日","2031","新光鋼","28.50","27.50","1.000000","息","29.40","25.60","27.50","27.50","除權息資料","110年第3季","32.42","6.83",
"92年06月02日","3015","全漢","57.00","48.85","8.150000","權息","52.00","45.50","48.90","48.85","除權息資料","110年第3季","72.76","3.00",
"92年06月05日","3009","奇美電","24.90","23.75","1.150000","權","26.60","22.10","24.90","24.90","除權息資料","","","",
"92年06月06日","1612","宏泰","10.20","9.48","0.713020","息","10.10","8.85","9.50","9.48","除權息資料","110年第3季","17.28","1.50",
"92年06月09日","2345","智邦","30.50","26.46","4.046100","權息","28.30","24.70","26.50","26.46","除權息資料","110年第3季","25.06","5.70",
"92年06月10日","1731","美吾華","15.70","14.70","1.000000","息","15.70","13.70","14.70","14.70","除權息資料","110年第3季","14.71","1.09",
"92年06月10日","2430","燦坤","44.40","42.40","2.000000","息","45.30","39.50","42.40","42.40","除權息資料","110年第3季","29.94","2.74",
"92年06月10日","2833","台壽保","33.40","31.40","2.000000","息","33.50","29.30","31.40","31.40","除權息資料","110年第3季","24.69","3.63",
"92年06月10日","3049","和鑫","20.00","15.91","4.090000","權","17.00","14.80","15.90","15.91","除權息資料","110年第3季","12.40","0.97",
"92年06月10日","9926","新海","12.25","11.65","0.600000","息","12.45","10.85","11.65","11.65","除權息資料","110年第3季","19.38","2.08",
"92年06月12日","1301","台塑","47.00","45.80","1.200000","息","49.00","42.60","45.80","45.80","除權息資料","110年第3季","60.37","8.56",
"92年06月12日","1423","利華","7.90","7.40","0.500000","息","7.90","6.90","7.40","7.40","除權息資料","110年第3季","21.73","0.99",
"92年06月13日","1905","華紙","14.20","14.08","0.120000","息","15.00","13.10","14.10","14.08","除權息資料","110年第3季","14.26","0.60",
"92年06月13日","2906","高林","10.15","9.32","0.830000","息","9.95","8.70","9.30","9.32","除權息資料","110年第3季","14.29","0.25",
"92年06月17日","2315","神達","12.95","12.75","0.200000","息","13.60","11.90","12.75","12.75","除權息資料","102年第1季","20.44","-0.10",
"92年06月18日","3009","奇美電","26.90","23.91","2.990000","權","25.50","22.30","23.90","23.91","除權息資料","","","",
"92年06月19日","1323","永裕","11.50","11.00","0.500000","息","11.75","10.25","11.00","11.00","除權息資料","110年第3季","24.87","2.26",
"92年06月19日","1326","台化","40.70","39.10","1.600000","息","41.80","36.40","39.10","39.10","除權息資料","110年第3季","66.25","5.95",
"92年06月19日","1540","喬福","13.30","12.50","0.800000","息","13.35","11.65","12.50","12.50","除權息資料","110年第3季","15.17","0.04",
"92年06月19日","1614","三洋電","13.60","12.70","0.900000","息","13.55","11.85","12.70","12.70","除權息資料","110年第3季","20.68","1.08",
"92年06月19日","2343","精業","24.10","21.61","2.490000","權息","23.10","20.10","21.60","21.61","除權息資料","","","",
"92年06月19日","2411","飛瑞","33.40","31.50","1.900000","息","33.70","29.30","31.50","31.50","除權息資料","","","",
"92年06月19日","2482","連宇","24.20","22.74","1.460000","權息","24.30","21.20","22.70","22.74","除權息資料","110年第3季","12.14","-0.08",
"92年06月19日","2523","德寶","10.90","9.90","1.000000","息","10.55","9.25","9.90","9.90","除權息資料","104年第2季","63.49","-1.35",
