頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0002427002,2427,三商電,上市,股票,資訊服務業,2000/09/11,ESVUFR,
2,TW0002453008,2453,凌群,上市,股票,資訊服務業,2001/05/22,ESVUFR,
3,TW0002468006,2468,華經,上市,股票,資訊服務業,2001/09/17,ESVUFR,
4,TW0002471000,2471,資通,上市,股票,資訊服務業,2001/09/17,ESVUFR,
5,TW0002480001,2480,敦陽科,上市,股票,資訊服務業,2001/09/17,ESVUFR,
6,TW0003029005,3029,零壹,上市,股票,資訊服務業,2002/08/26,ESVUFR,
7,TW0003130001,3130,一零四,上市,股票,資訊服務業,2006/02/17,ESVUFR,
8,TW0004994009,4994,傳奇,上市,股票,資訊服務業,2013/12/25,ESVUFR,
9,TW0005203004,5203,訊連,上市,股票,資訊服務業,2004/09/27,ESVUFR,
10,TW0006112006,6112,聚碩,上市,股票,資訊服務業,2003/08/04,ESVUFR,
11,TW0006183007,6183,關貿,上市,股票,資訊服務業,2011/12/01,ESVUFR,
12,TW0006214000,6214,精誠,上市,股票,資訊服務業,2010/12/30,ESVUFR,
