"100年01月01日 至 110年11月25日 股票減資恢復買賣參考價格"
"恢復買賣日期","股票代號","名稱","停止買賣前收盤價格","恢復買賣參考價","漲停價格","跌停價格","開盤競價基準","除權參考價","減資原因","詳細資料",
"100/01/25","2412","中華電","73.10","88.87","95.00","82.70","88.90","--","退還股款","請點選",
"100/01/27","3018","同開","17.50","19.99","21.35","18.60","20.00","--","彌補虧損","請點選",
"100/03/01","2348","力廣","2.49","6.99","7.47","6.51","6.99","--","彌補虧損","請點選",
"100/03/29","6289","華上","8.73","11.63","12.40","10.85","11.65","--","彌補虧損","請點選",
"100/04/08","9906","興達","1.33","6.87","7.35","6.39","6.87","--","彌補虧損","請點選",
"100/04/11","2371","大同","6.75","16.02","17.10","14.90","16.00","--","彌補虧損","請點選",
"100/04/15","2424","隴華","16.60","22.13","23.65","20.60","22.15","--","彌補虧損","請點選",
"100/08/25","1451","年興","22.50","24.28","25.95","22.60","24.30","--","退還股款","請點選",
"100/08/31","6235","華孚","5.86","11.71","12.50","10.90","11.70","--","彌補虧損","請點選",
"100/09/01","1516","川飛","1.81","5.17","5.53","4.81","5.17","--","彌補虧損","請點選",
"100/09/08","1805","寶徠","16.35","19.60","20.95","18.25","19.60","--","彌補虧損","請點選",
"100/09/22","1443","立益","3.24","6.97","7.45","6.49","6.97","--","彌補虧損","請點選",
"100/10/13","3045","台灣大","74.90","82.11","87.80","76.40","82.10","--","退還股款","請點選",
"100/10/20","3536","誠創","4.88","9.32","9.97","8.67","9.32","--","彌補虧損","請點選",
"100/10/21","5203","訊連","58.90","71.10","76.00","66.20","71.10","--","退還股款","請點選",
"100/10/25","2465","麗臺","3.78","5.39","5.76","5.02","5.39","--","彌補虧損","請點選",
"100/11/10","6172","互億","2.99","5.55","5.93","5.17","5.55","--","彌補虧損","請點選",
"100/11/25","2506","太設","5.70","10.46","11.15","9.73","10.45","--","彌補虧損","請點選",
"100/11/30","1472","三洋紡","7.30","10.73","11.45","9.98","10.75","--","彌補虧損","請點選",
"100/12/06","1475","本盟","5.82","9.69","10.35","9.02","9.69","--","彌補虧損","請點選",
"100/12/30","2425","承啟","10.50","15.17","16.20","14.15","15.15","--","彌補虧損","請點選",
"101/01/02","9935","慶豐富","3.02","4.54","4.85","4.23","4.54","--","彌補虧損","請點選",
"101/08/06","1436","福益","14.20","33.14","35.45","30.85","33.15","--","退還股款","請點選",
"101/08/06","6225","天瀚","2.34","5.35","5.72","4.98","5.35","--","彌補虧損","請點選",
"101/08/20","1451","年興","19.25","20.27","21.65","18.90","20.25","--","退還股款","請點選",
